ad_archive_id;library_url;page;start;end;active;status;collation_count;format;platforms;headline;cta;link_description;target_path;eu_reach;first_150_chars
1288671210099131;https://www.facebook.com/ads/library/?id=1288671210099131;Peter Schulz;2026-05-19;2026-09-01;False;AD_ACCOUNT_DISABLED;;Bild;FB+IG+AN+MSG+TH;Beschütz deine Familie;Mehr dazu;;/pages/sicherheit;;Ich bin seit sieben Jahren Feuerwehrmann. Vor neun Monaten bin ich um vier Uhr morgens nach Hause gekommen und habe jeden Melder von meinen eigenen Wä
694204973787421;https://www.facebook.com/ads/library/?id=694204973787421;Peter Schulz;2026-05-19;2026-08-22;False;AD_ACCOUNT_DISABLED;;Bild;FB+IG+AN+MSG+TH;Beschütz deine Familie;Mehr dazu;;/pages/sicherheit;;Unser Gutachter hat alles geprüft. Er hat übersehen, was die Familie getötet hat, die zwei Monate vor unserem Einzug in diesem Haus gelebt hat. Ich te
1776635843313083;https://www.facebook.com/ads/library/?id=1776635843313083;Peter Schulz;2026-05-19;2026-08-28;False;AD_ACCOUNT_DISABLED;;Bild;FB+IG+AN+MSG+TH;Beschütz deine Familie;Mehr dazu;;/pages/sicherheit;;Ich bin seit sieben Jahren Feuerwehrmann. Vor neun Monaten bin ich um vier Uhr morgens nach Hause gekommen und habe jeden Melder von meinen eigenen Wä
2022268458501485;https://www.facebook.com/ads/library/?id=2022268458501485;Peter Schulz;2026-05-19;2026-08-08;False;AD_ACCOUNT_DISABLED;;Bild;FB+IG+AN+MSG+TH;Beschütz deine Familie;Mehr dazu;;/pages/sicherheit;;Unser Gutachter hat alles geprüft. Er hat übersehen, was die Familie getötet hat, die zwei Monate vor unserem Einzug in diesem Haus gelebt hat. Ich te
2032724437650164;https://www.facebook.com/ads/library/?id=2032724437650164;Peter Schulz;2026-05-19;2026-07-24;False;AD_ACCOUNT_DISABLED;;Bild;FB+IG+AN+MSG+TH;Beschütz deine Familie;Mehr dazu;;/pages/sicherheit;;Unser Gutachter hat alles geprüft. Er hat übersehen, was die Familie getötet hat, die zwei Monate vor unserem Einzug in diesem Haus gelebt hat. Ich te
1359919636236189;https://www.facebook.com/ads/library/?id=1359919636236189;Peter Schulz;2026-05-19;2026-07-31;False;AD_ACCOUNT_DISABLED;;Bild;FB+IG+AN+MSG+TH;Beschütz deine Familie;Mehr dazu;;/pages/sicherheit;;Ich bin seit sieben Jahren Feuerwehrmann. Vor neun Monaten bin ich um vier Uhr morgens nach Hause gekommen und habe jeden Melder von meinen eigenen Wä
1522165166183256;https://www.facebook.com/ads/library/?id=1522165166183256;Peter Schulz;2026-05-19;2026-07-19;False;AD_ACCOUNT_DISABLED;;Bild;FB+IG+AN+MSG+TH;Beschütz deine Familie;Mehr dazu;;/pages/sicherheit;;Ich bin seit sieben Jahren Feuerwehrmann. Vor neun Monaten bin ich um vier Uhr morgens nach Hause gekommen und habe jeden Melder von meinen eigenen Wä
979669247883507;https://www.facebook.com/ads/library/?id=979669247883507;Peter Schulz;2026-05-19;2026-06-11;False;AD_ACCOUNT_DISABLED;;Bild;FB+IG+AN+MSG+TH;Beschütz deine Familie;Mehr dazu;;/pages/sicherheit;;Ich bin seit 14 Jahren Feuerwehrmann. Ich erzähl dir, was jeden Winter 900+ Familien in Deutschland im Schlaf tötet. Letzten Februar haben wir um drei
2256997235126263;https://www.facebook.com/ads/library/?id=2256997235126263;Peter Schulz;2026-05-19;2026-07-22;False;AD_ACCOUNT_DISABLED;;Bild;FB+IG+AN+MSG+TH;Beschütz deine Familie;Mehr dazu;;/pages/sicherheit;;Ich bin seit sieben Jahren Feuerwehrmann. Vor neun Monaten bin ich um vier Uhr morgens nach Hause gekommen und habe jeden Melder von meinen eigenen Wä
1308822730580502;https://www.facebook.com/ads/library/?id=1308822730580502;Peter Schulz;2026-05-19;2026-09-01;False;AD_ACCOUNT_DISABLED;;Bild;FB+IG+AN+MSG+TH;Beschütz deine Familie;Mehr dazu;;/pages/sicherheit;;Ich bin seit sieben Jahren Feuerwehrmann. Vor neun Monaten bin ich um vier Uhr morgens nach Hause gekommen und habe jeden Melder von meinen eigenen Wä
1310382483758920;https://www.facebook.com/ads/library/?id=1310382483758920;Peter Schulz;2026-05-19;2026-06-07;False;AD_ACCOUNT_DISABLED;;Bild;FB+IG+AN+MSG+TH;Beschütz deine Familie;Mehr dazu;;/pages/sicherheit;;Ich bin seit 14 Jahren Feuerwehrmann. Ich erzähl dir, was jeden Winter 900+ Familien in Deutschland im Schlaf tötet. Letzten Februar haben wir um drei
1707205670703393;https://www.facebook.com/ads/library/?id=1707205670703393;Peter Schulz;2026-05-19;2026-06-08;False;AD_ACCOUNT_DISABLED;;Bild;FB+IG+AN+MSG+TH;schutzix.com;Mehr dazu;;/pages/sicherheit;;Unser Gutachter hat alles geprüft. Er hat übersehen, was die Familie getötet hat, die zwei Monate vor unserem Einzug in diesem Haus gelebt hat. Ich te
1308743601350333;https://www.facebook.com/ads/library/?id=1308743601350333;Peter Schulz;2026-05-19;2026-08-31;False;AD_ACCOUNT_DISABLED;;Bild;FB+IG+AN+MSG+TH;Beschütz deine Familie;Mehr dazu;;/pages/sicherheit;;Unser Gutachter hat alles geprüft. Er hat übersehen, was die Familie getötet hat, die zwei Monate vor unserem Einzug in diesem Haus gelebt hat. Ich te
1241674231179290;https://www.facebook.com/ads/library/?id=1241674231179290;Peter Schulz;2026-05-19;2026-06-08;False;AD_ACCOUNT_DISABLED;;Bild;FB+IG+AN+MSG+TH;Beschütz deine Familie;Mehr dazu;;/pages/sicherheit;;Ich bin seit 14 Jahren Feuerwehrmann. Ich erzähl dir, was jeden Winter 900+ Familien in Deutschland im Schlaf tötet. Letzten Februar haben wir um drei
2388418258299271;https://www.facebook.com/ads/library/?id=2388418258299271;Peter Schulz;2026-05-19;2026-06-08;False;AD_ACCOUNT_DISABLED;;Bild;FB+IG+AN+MSG+TH;Beschütz deine Familie;Mehr dazu;;/pages/sicherheit;;Ich bin seit 14 Jahren Feuerwehrmann. Ich erzähl dir, was jeden Winter 900+ Familien in Deutschland im Schlaf tötet. Letzten Februar haben wir um drei
2051228689084856;https://www.facebook.com/ads/library/?id=2051228689084856;Peter Schulz;2026-05-19;2026-06-02;False;AD_ACCOUNT_DISABLED;;Bild;FB+IG+AN+MSG+TH;Beschütz deine Familie;Mehr dazu;;/pages/sicherheit;;Ich bin seit 14 Jahren Feuerwehrmann. Ich erzähl dir, was jeden Winter 900+ Familien in Deutschland im Schlaf tötet. Letzten Februar haben wir um drei
988996070379937;https://www.facebook.com/ads/library/?id=988996070379937;Peter Schulz;2026-05-19;2026-05-20;False;AD_ACCOUNT_DISABLED;;Bild;FB+IG+AN+MSG+TH;Beschütz deine Familie;Mehr dazu;;/pages/sicherheit;;Meine Frau und ich sind in unseren 60ern. Unsere Enkel schlafen jedes Wochenende bei uns. Letzte Woche hätte ich sie alle fast verloren. Mir geht's im
1217008130429144;https://www.facebook.com/ads/library/?id=1217008130429144;Peter Schulz;2026-05-19;2026-05-20;False;AD_ACCOUNT_DISABLED;;Bild;FB+IG+AN+MSG+TH;Beschütz deine Familie;Mehr dazu;;/pages/sicherheit;;Meine Frau und ich sind in unseren 60ern. Unsere Enkel schlafen jedes Wochenende bei uns. Letzte Woche hätte ich sie alle fast verloren. Mir geht's im
1710993940141335;https://www.facebook.com/ads/library/?id=1710993940141335;Peter Schulz;2026-05-19;2026-05-20;False;AD_ACCOUNT_DISABLED;;Bild;FB+IG+AN+MSG+TH;Beschütz deine Familie;Mehr dazu;;/pages/sicherheit;;Meine Frau und ich sind in unseren 60ern. Unsere Enkel schlafen jedes Wochenende bei uns. Letzte Woche hätte ich sie alle fast verloren. Mir geht's im
1702782910854129;https://www.facebook.com/ads/library/?id=1702782910854129;Peter Schulz;2026-05-20;2026-05-28;False;AD_ACCOUNT_DISABLED;;Bild;FB+IG+AN+MSG+TH;Beschütz deine Familie;Mehr dazu;;/pages/sicherheit;;Meine Frau und ich sind in unseren 60ern. Unsere Enkel schlafen jedes Wochenende bei uns. Letzte Woche hätte ich sie alle fast verloren. Mir geht's im
1463302918321027;https://www.facebook.com/ads/library/?id=1463302918321027;Peter Schulz;2026-05-20;2026-05-27;False;AD_ACCOUNT_DISABLED;;Bild;FB+IG+AN+MSG+TH;Beschütz deine Familie;Mehr dazu;;/pages/sicherheit;;Meine Frau und ich sind in unseren 60ern. Unsere Enkel schlafen jedes Wochenende bei uns. Letzte Woche hätte ich sie alle fast verloren. Mir geht's im
1484808619343004;https://www.facebook.com/ads/library/?id=1484808619343004;Peter Schulz;2026-05-20;2026-05-27;False;AD_ACCOUNT_DISABLED;;Bild;FB+IG+AN+MSG+TH;Beschütz deine Familie;Mehr dazu;;/pages/sicherheit;;Meine Frau und ich sind in unseren 60ern. Unsere Enkel schlafen jedes Wochenende bei uns. Letzte Woche hätte ich sie alle fast verloren. Mir geht's im
1012784485033940;https://www.facebook.com/ads/library/?id=1012784485033940;Peter Schulz;2026-05-20;2026-05-26;False;AD_ACCOUNT_DISABLED;;Bild;FB+IG+AN+MSG+TH;Beschütz deine Familie;Mehr dazu;;/pages/sicherheit;;Meine Frau und ich sind in unseren 60ern. Unsere Enkel schlafen jedes Wochenende bei uns. Letzte Woche hätte ich sie alle fast verloren. Mir geht's im
962535543296298;https://www.facebook.com/ads/library/?id=962535543296298;Peter Schulz;2026-05-20;2026-05-25;False;AD_ACCOUNT_DISABLED;;Bild;FB+IG+AN+MSG+TH;Beschütz deine Familie;Mehr dazu;;/pages/sicherheit;;Meine Frau und ich sind in unseren 60ern. Unsere Enkel schlafen jedes Wochenende bei uns. Letzte Woche hätte ich sie alle fast verloren. Mir geht's im
2283477875726309;https://www.facebook.com/ads/library/?id=2283477875726309;Peter Schulz;2026-05-28;2026-06-16;False;AD_ACCOUNT_DISABLED;1;Bild;FB+IG+AN+MSG+TH;Beschütz deine Familie;Mehr dazu;Schutzix verwendet dieselbe elektrochemische Sensortechnologie, der Heizungs-, K;/pages/sicherheit;;Unser Vermieter hat gesagt, dieses Haus sei sicher. Er hat uns nicht erzählt, dass die Familie vor uns tot in dieser Küche gefunden wurde. Ich teile d
952093221167188;https://www.facebook.com/ads/library/?id=952093221167188;Peter Schulz;2026-05-28;2026-06-10;False;AD_ACCOUNT_DISABLED;1;Bild;FB+IG+AN+MSG+TH;Beschütz deine Familie;Mehr dazu;Schutzix verwendet dieselbe elektrochemische Sensortechnologie, der Heizungs-, K;/pages/sicherheit;;Unser Vermieter hat gesagt, dieses Haus sei sicher. Er hat uns nicht erzählt, dass die Familie vor uns tot in dieser Küche gefunden wurde. Ich teile d
1285026580469052;https://www.facebook.com/ads/library/?id=1285026580469052;Peter Schulz;2026-05-28;2026-06-12;False;AD_ACCOUNT_DISABLED;1;Bild;FB+IG+AN+MSG+TH;Beschütz deine Familie;Mehr dazu;Schutzix verwendet dieselbe elektrochemische Sensortechnologie, der Heizungs-, K;/pages/sicherheit;;Unser Vermieter hat gesagt, dieses Haus sei sicher. Er hat uns nicht erzählt, dass die Familie vor uns tot in dieser Küche gefunden wurde. Ich teile d
